trn_loss,val_loss,trn_acc,val_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.7496251795026991,0.6282865047454834,0.5319767441860465,0.6627906976744186,4.022356271743774,False,,,1,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-44,1683974564,4.022356271743774,6200,Schenker-Media-Station,127.0.0.1,4.022356271743774,0,1,0.004987955093383789
0.6750698569748137,0.6571012735366821,0.5988372093023255,0.6162790697674418,1.4491214752197266,False,,,2,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-45,1683974565,5.471477746963501,6200,Schenker-Media-Station,127.0.0.1,5.471477746963501,0,2,0.004987955093383789
0.6042157742712233,0.6331240653991699,0.6715116279069767,0.7558139534883721,1.475053310394287,False,,,3,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-47,1683974567,6.946531057357788,6200,Schenker-Media-Station,127.0.0.1,6.946531057357788,0,3,0.004987955093383789
0.5935483011934493,0.681037712097168,0.6686046511627907,0.6744186046511628,1.776277780532837,False,,,4,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-49,1683974569,8.722808837890625,6200,Schenker-Media-Station,127.0.0.1,8.722808837890625,0,4,0.004987955093383789
0.6052956978480021,0.681592583656311,0.6802325581395349,0.6511627906976745,1.8001823425292969,False,,,5,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-50,1683974570,10.522991180419922,6200,Schenker-Media-Station,127.0.0.1,10.522991180419922,0,5,0.004987955093383789
0.5609784573316574,0.6971024692058563,0.6831395348837209,0.6511627906976745,1.7333593368530273,False,,,6,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-52,1683974572,12.25635051727295,6200,Schenker-Media-Station,127.0.0.1,12.25635051727295,0,6,0.004987955093383789
0.5027227169937558,0.7164249420166016,0.747093023255814,0.6511627906976745,1.7403430938720703,False,,,7,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-54,1683974574,13.99669361114502,6200,Schenker-Media-Station,127.0.0.1,13.99669361114502,0,7,0.004987955093383789
0.5207288397683038,0.5664258420467376,0.75,0.7441860465116279,1.760260820388794,False,,,8,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-56,1683974576,15.756954431533813,6200,Schenker-Media-Station,127.0.0.1,15.756954431533813,0,8,0.004987955093383789
0.4905810041560067,0.5238808572292328,0.7848837209302325,0.7325581395348837,1.7672712802886963,False,,,9,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-57,1683974577,17.52422571182251,6200,Schenker-Media-Station,127.0.0.1,17.52422571182251,0,9,0.004987955093383789
0.5110009726550844,0.6179912090301514,0.7587209302325582,0.6976744186046512,1.7981879711151123,False,,,10,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-42-59,1683974579,19.322413682937622,6200,Schenker-Media-Station,127.0.0.1,19.322413682937622,0,10,0.004987955093383789
0.4506802161534627,0.652264940738678,0.8023255813953488,0.6976744186046512,1.7992422580718994,False,,,11,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-43-01,1683974581,21.12165594100952,6200,Schenker-Media-Station,127.0.0.1,21.12165594100952,0,11,0.004987955093383789
0.5161591188775169,0.5971705555915833,0.7674418604651163,0.6744186046511628,1.7712597846984863,False,,,12,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-43-03,1683974583,22.892915725708008,6200,Schenker-Media-Station,127.0.0.1,22.892915725708008,0,12,0.004987955093383789
0.4651414669222302,0.6627832233905793,0.7645348837209303,0.7790697674418605,1.814145565032959,False,,,13,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-43-04,1683974584,24.707061290740967,6200,Schenker-Media-Station,127.0.0.1,24.707061290740967,0,13,0.004987955093383789
0.5113653424713347,0.7329589128494263,0.7906976744186046,0.686046511627907,1.8004837036132812,False,,,14,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-43-06,1683974586,26.507544994354248,6200,Schenker-Media-Station,127.0.0.1,26.507544994354248,0,14,0.004987955093383789
0.5003483841816584,0.6262943327426911,0.7412790697674418,0.6744186046511628,1.7995283603668213,False,,,15,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-43-08,1683974588,28.30707335472107,6200,Schenker-Media-Station,127.0.0.1,28.30707335472107,0,15,0.004987955093383789
0.4832751154899597,0.6389427185058594,0.7761627906976745,0.686046511627907,1.7981879711151123,False,,,16,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-43-10,1683974590,30.10526132583618,6200,Schenker-Media-Station,127.0.0.1,30.10526132583618,0,16,0.004987955093383789
0.4721108807457818,0.5326743274927139,0.7906976744186046,0.7209302325581395,1.801004409790039,False,,,17,e00e9_00000,d5a68bdbe15d4457aebb1627ec61086c,2023-05-13_12-43-12,1683974592,31.90626573562622,6200,Schenker-Media-Station,127.0.0.1,31.90626573562622,0,17,0.004987955093383789
